"","Clusters","gene_short_name","family","pval","qval","status","num_cells_expressed","use_for_ordering"
"RASGEF1B","1","RASGEF1B","negbinomial.size",6.61606967207282e-223,7.92831774515245e-222,"OK",4512,TRUE
"RPL34","2","RPL34","negbinomial.size",0,0,"OK",16281,TRUE
"FKBP4","1","FKBP4","negbinomial.size",1.16146239148544e-222,1.38418237754501e-221,"OK",4382,TRUE
"UBB","1","UBB","negbinomial.size",4.66605759703621e-262,6.36520687293807e-261,"OK",16186,TRUE
"RPS2","2","RPS2","negbinomial.size",0,0,"OK",16271,TRUE
"PHLDA1","1","PHLDA1","negbinomial.size",1.22025813628521e-156,1.06723382967848e-155,"OK",6656,TRUE
"RPL36","2","RPL36","negbinomial.size",0,0,"OK",15984,TRUE
"GZMH","2","GZMH","negbinomial.size",0,0,"OK",14242,TRUE
"DNAJB6","1","DNAJB6","negbinomial.size",1.14451884832798e-267,1.62252377910026e-266,"OK",13003,TRUE
"KLRC2","2","KLRC2","negbinomial.size",0,0,"OK",4083,TRUE
"PTMA","1","PTMA","negbinomial.size",0,0,"OK",16257,TRUE
"MRPS6","1","MRPS6","negbinomial.size",1.84970538424603e-175,1.82364135383165e-174,"OK",5643,TRUE
"EIF1AY","1","EIF1AY","negbinomial.size",1.25541145466321e-87,6.67398883618752e-87,"OK",864,TRUE
"LAIR2","1","LAIR2","negbinomial.size",4.35752017067814e-241,5.59258062142064e-240,"OK",6448,TRUE
"DNAJA4","1","DNAJA4","negbinomial.size",0,0,"OK",3193,TRUE
"RPS15A","2","RPS15A","negbinomial.size",0,0,"OK",16284,TRUE
"ANKRD28","1","ANKRD28","negbinomial.size",9.58398360244214e-214,1.07708085148689e-212,"OK",5089,TRUE
"RPL36A","2","RPL36A","negbinomial.size",0,0,"OK",11917,TRUE
"HSP90AA1","1","HSP90AA1","negbinomial.size",9.90942110275209e-141,7.87308951350523e-140,"OK",16102,TRUE
"HLA-C","1","HLA-C","negbinomial.size",1.44227873355569e-197,1.53348165347171e-196,"OK",16283,TRUE
"EEF1A1","2","EEF1A1","negbinomial.size",0,0,"OK",16287,TRUE
"ADGRE5","1","ADGRE5","negbinomial.size",0,0,"OK",11198,TRUE
"RPL3","2","RPL3","negbinomial.size",0,0,"OK",16197,TRUE
"ZFP36L2","2","ZFP36L2","negbinomial.size",4.47802525600877e-42,1.30900765232925e-41,"OK",15159,TRUE
"CCL4","1","CCL4","negbinomial.size",0,0,"OK",15291,TRUE
"RPS28","2","RPS28","negbinomial.size",0,0,"OK",16274,TRUE
"BTG1","2","BTG1","negbinomial.size",6.12176612387295e-77,2.88654580927836e-76,"OK",16227,TRUE
"SH2D2A","1","SH2D2A","negbinomial.size",2.61772105079737e-218,3.03627644875909e-217,"OK",6743,TRUE
"MT-CYB","2","MT-CYB","negbinomial.size",9.42383543039213e-201,1.01693030092142e-199,"OK",16271,TRUE
"RPS27","2","RPS27","negbinomial.size",0,0,"OK",16287,TRUE
"RPS7","2","RPS7","negbinomial.size",0,0,"OK",16268,TRUE
"CCL4L2","1","CCL4L2","negbinomial.size",1.0269709808403e-10,1.27504296361912e-10,"OK",11595,TRUE
"IFITM1","1","IFITM1","negbinomial.size",1.42868977845633e-233,1.8016442613208e-232,"OK",4667,TRUE
"RPS19","2","RPS19","negbinomial.size",0,0,"OK",16270,TRUE
"HLA-DRA","2","HLA-DRA","negbinomial.size",0,0,"OK",4172,TRUE
"RPS18","2","RPS18","negbinomial.size",0,0,"OK",16226,TRUE
"RPS29","2","RPS29","negbinomial.size",0,0,"OK",16175,TRUE
"ALOX5AP","1","ALOX5AP","negbinomial.size",0,0,"OK",9713,TRUE
"IER5","1","IER5","negbinomial.size",4.98076598479439e-305,8.31021647770694e-304,"OK",12743,TRUE
"HES4","1","HES4","negbinomial.size",0,0,"OK",2473,TRUE
"TNFRSF18","1","TNFRSF18","negbinomial.size",3.88132830730863e-116,2.71567777372658e-115,"OK",2665,TRUE
"MAPRE2","1","MAPRE2","negbinomial.size",1.57227145119637e-211,1.7488496295615e-210,"OK",6178,TRUE
"RPL32","2","RPL32","negbinomial.size",0,0,"OK",16285,TRUE
"DAAM1","1","DAAM1","negbinomial.size",4.27453750559657e-188,4.37333577813158e-187,"OK",1915,TRUE
"RPL21","2","RPL21","negbinomial.size",0,0,"OK",16266,TRUE
"PTMS","2","PTMS","negbinomial.size",0,0,"OK",3499,TRUE
"SDCBP","1","SDCBP","negbinomial.size",4.88480780214795e-252,6.46045617247494e-251,"OK",7248,TRUE
"RPS27A","2","RPS27A","negbinomial.size",0,0,"OK",16286,TRUE
"DNAJB1","1","DNAJB1","negbinomial.size",9.96465385300126e-104,6.30126361724773e-103,"OK",13798,TRUE
"RPL41","2","RPL41","negbinomial.size",0,0,"OK",16287,TRUE
"VIM","1","VIM","negbinomial.size",3.3562032195704e-11,4.22986913611167e-11,"OK",14260,TRUE
"C1orf162","1","C1orf162","negbinomial.size",0,0,"OK",3020,TRUE
"NFKBIZ","1","NFKBIZ","negbinomial.size",4.13476912524058e-232,5.15420358198093e-231,"OK",9242,TRUE
"TOMM7","2","TOMM7","negbinomial.size",1.53207721600827e-300,2.53669884085645e-299,"OK",13334,TRUE
"PPP1R2C","2","PPP1R2C","negbinomial.size",9.46637463031065e-98,5.54934231706589e-97,"OK",526,TRUE
"GZMK","2","GZMK","negbinomial.size",1.49429529664429e-162,1.36181785647961e-161,"OK",4282,TRUE
"TRG-AS1","2","TRG-AS1","negbinomial.size",0,0,"OK",3825,TRUE
"PIK3R1","2","PIK3R1","negbinomial.size",1.14739636992458e-77,5.46967632168442e-77,"OK",9923,TRUE
"RPL13","2","RPL13","negbinomial.size",0,0,"OK",16287,TRUE
"RPL7A","2","RPL7A","negbinomial.size",0,0,"OK",16263,TRUE
"CD38","1","CD38","negbinomial.size",0,0,"OK",3894,TRUE
"IER3","1","IER3","negbinomial.size",1.08102856588621e-220,1.26061879538021e-219,"OK",8515,TRUE
"MT1M","1","MT1M","negbinomial.size",4.55933039092233e-111,3.05773562575721e-110,"OK",191,TRUE
"HLA-DPA1","2","HLA-DPA1","negbinomial.size",0,0,"OK",9607,TRUE
"XCL1","1","XCL1","negbinomial.size",2.20831331748513e-93,1.23131917368258e-92,"OK",5563,TRUE
"NUDC","1","NUDC","negbinomial.size",3.14623795485569e-136,2.41137460214911e-135,"OK",5847,TRUE
"HLA-DPB1","2","HLA-DPB1","negbinomial.size",0,0,"OK",9786,TRUE
"RPS23","2","RPS23","negbinomial.size",0,0,"OK",16280,TRUE
"PIM3","1","PIM3","negbinomial.size",5.59627706089566e-221,6.56125672707172e-220,"OK",7986,TRUE
"RPL19","2","RPL19","negbinomial.size",0,0,"OK",16285,TRUE
"TTTY15","1","TTTY15","negbinomial.size",8.78458724917082e-66,3.67833392730724e-65,"OK",644,TRUE
"RPL6","2","RPL6","negbinomial.size",0,0,"OK",16253,TRUE
"IRF7","1","IRF7","negbinomial.size",1.8534307246423e-259,2.49695108183177e-258,"OK",4510,TRUE
"RPS25","2","RPS25","negbinomial.size",0,0,"OK",16189,TRUE
"CSRNP1","1","CSRNP1","negbinomial.size",5.20323710254921e-285,8.06130091102088e-284,"OK",10690,TRUE
"CTSD","1","CTSD","negbinomial.size",3.12748055758745e-275,4.67827953752219e-274,"OK",10386,TRUE
"DOCK5","1","DOCK5","negbinomial.size",2.25180608977336e-111,1.52154747935153e-110,"OK",1032,TRUE
"FGFBP2","1","FGFBP2","negbinomial.size",8.41245948530969e-222,9.97083312767034e-221,"OK",13235,TRUE
"PMEPA1","1","PMEPA1","negbinomial.size",1.23714727534554e-87,6.5930526786842e-87,"OK",1119,TRUE
"IER5L","2","IER5L","negbinomial.size",3.06848066313933e-226,3.71817573092134e-225,"OK",6752,TRUE
"RPL37","2","RPL37","negbinomial.size",0,0,"OK",16276,TRUE
"SOCS1","2","SOCS1","negbinomial.size",7.04402464027675e-40,1.98938664645316e-39,"OK",9127,TRUE
"EPSTI1","1","EPSTI1","negbinomial.size",3.09985480094229e-212,3.46576549651743e-211,"OK",3269,TRUE
"NFKB1","1","NFKB1","negbinomial.size",4.74389126923563e-226,5.71638897942894e-225,"OK",7791,TRUE
"SYTL3","1","SYTL3","negbinomial.size",1.84741909223761e-210,2.0237636419512e-209,"OK",10145,TRUE
"CEMIP2","2","CEMIP2","negbinomial.size",1.62187132179492e-11,2.0596246469398e-11,"OK",10049,TRUE
"SARAF","1","SARAF","negbinomial.size",9.78755578130301e-178,9.78304538693375e-177,"OK",14048,TRUE
"CD247","1","CD247","negbinomial.size",5.89170963872483e-264,8.19174243999626e-263,"OK",14346,TRUE
"RPL22","2","RPL22","negbinomial.size",1.34731763225241e-305,2.26537360027557e-304,"OK",15917,TRUE
"ARL4A","1","ARL4A","negbinomial.size",3.02567452686136e-140,2.39514162363587e-139,"OK",5956,TRUE
"HPGD","1","HPGD","negbinomial.size",1.80779751283082e-77,8.59893159063606e-77,"OK",1082,TRUE
"BHLHE40","1","BHLHE40","negbinomial.size",8.10261007936855e-229,9.98554617167636e-228,"OK",11255,TRUE
"RPL35A","2","RPL35A","negbinomial.size",0,0,"OK",16252,TRUE
"NINJ1","1","NINJ1","negbinomial.size",1.12143455824177e-157,9.88777055620486e-157,"OK",5976,TRUE
"STIP1","1","STIP1","negbinomial.size",4.96543777555021e-141,3.95957152028251e-140,"OK",4436,TRUE
"LAT2","1","LAT2","negbinomial.size",8.29502829990929e-235,1.05834802250019e-233,"OK",4581,TRUE
"HSPA1A","1","HSPA1A","negbinomial.size",1.39821194271701e-100,8.49501877802013e-100,"OK",11632,TRUE
"IVNS1ABP","1","IVNS1ABP","negbinomial.size",7.70875022320004e-136,5.88742226553553e-135,"OK",4798,TRUE
"GBP2","1","GBP2","negbinomial.size",1.71803189153258e-120,1.23391098434906e-119,"OK",4852,TRUE
"UTS2","1","UTS2","negbinomial.size",9.26785846686049e-97,5.37486230337444e-96,"OK",1277,TRUE
"DDIT3","1","DDIT3","negbinomial.size",2.12015269026232e-198,2.26532570698472e-197,"OK",8900,TRUE
"SLC16A3","1","SLC16A3","negbinomial.size",5.57958300695033e-184,5.65519417853985e-183,"OK",3048,TRUE
"RPSA","2","RPSA","negbinomial.size",0,0,"OK",16021,TRUE
"HLA-DRB5","2","HLA-DRB5","negbinomial.size",7.68412663704128e-267,1.08226432959367e-265,"OK",3554,TRUE
"MYL6","1","MYL6","negbinomial.size",7.27815560284978e-164,6.68911843329711e-163,"OK",15533,TRUE
"CRIP1","1","CRIP1","negbinomial.size",5.78197527551867e-57,2.14377852523077e-56,"OK",4004,TRUE
"RPL18","2","RPL18","negbinomial.size",1.61025786765908e-292,2.53090530069025e-291,"OK",16257,TRUE
"RPL11","2","RPL11","negbinomial.size",0,0,"OK",16282,TRUE
"MIR155HG","1","MIR155HG","negbinomial.size",1.38981136373104e-103,8.76308386026925e-103,"OK",2133,TRUE
"LRRFIP1","1","LRRFIP1","negbinomial.size",3.92767092487665e-108,2.58939764013905e-107,"OK",11592,TRUE
"CARD16","1","CARD16","negbinomial.size",2.45166954348928e-242,3.18423427534626e-241,"OK",7551,TRUE
"RELB","1","RELB","negbinomial.size",7.03950488805038e-115,4.87817447354034e-114,"OK",4188,TRUE
"HSP90B1","1","HSP90B1","negbinomial.size",1.91436910755895e-199,2.0555775219284e-198,"OK",10358,TRUE
"RPS13","2","RPS13","negbinomial.size",1.12711086297025e-267,1.60835754064637e-266,"OK",16248,TRUE
"LCK","2","LCK","negbinomial.size",8.68716455047777e-159,7.75409872838941e-158,"OK",6790,TRUE
"HSH2D","1","HSH2D","negbinomial.size",3.53159133740173e-279,5.35665846910794e-278,"OK",5301,TRUE
"HLA-DQB1","2","HLA-DQB1","negbinomial.size",1.61943027055178e-156,1.41066034410715e-155,"OK",3495,TRUE
"MX1","1","MX1","negbinomial.size",3.18032604039474e-132,2.37049044041794e-131,"OK",1861,TRUE
"IKZF1","2","IKZF1","negbinomial.size",9.24186983948845e-51,3.11751410293164e-50,"OK",8258,TRUE
"S100A11","1","S100A11","negbinomial.size",1.61171504583701e-74,7.34413851769006e-74,"OK",6902,TRUE
"SYNJ2","1","SYNJ2","negbinomial.size",1.41461782301859e-215,1.61489792533017e-214,"OK",1776,TRUE
"HSPE1","1","HSPE1","negbinomial.size",1.71575962513788e-99,1.02520182559891e-98,"OK",13979,TRUE
"RPL26","2","RPL26","negbinomial.size",0,0,"OK",16256,TRUE
"EEF1B2","2","EEF1B2","negbinomial.size",1.75049448291187e-271,2.51445200889791e-270,"OK",15206,TRUE
"ARID4B","1","ARID4B","negbinomial.size",9.64227626404932e-158,8.53636621090733e-157,"OK",10207,TRUE
"NFE2L2","1","NFE2L2","negbinomial.size",9.96878791333322e-175,9.73977521802692e-174,"OK",7350,TRUE
"IRS2","1","IRS2","negbinomial.size",0,0,"OK",3313,TRUE
"RPS16","2","RPS16","negbinomial.size",0,0,"OK",16070,TRUE
"PLSCR1","1","PLSCR1","negbinomial.size",1.79121255428804e-173,1.74221526020213e-172,"OK",2439,TRUE
"KDM6B","1","KDM6B","negbinomial.size",1.03210324660022e-227,1.26476380896942e-226,"OK",9558,TRUE
"NKG7","1","NKG7","negbinomial.size",1.23993970768656e-150,1.05467812783221e-149,"OK",16248,TRUE
"SPOCK2","1","SPOCK2","negbinomial.size",9.52642971492332e-32,2.26317919514443e-31,"OK",5389,TRUE
"RPL18A","2","RPL18A","negbinomial.size",8.81712006656724e-266,1.23382796286351e-264,"OK",16241,TRUE
"DUSP4","1","DUSP4","negbinomial.size",6.72532625659148e-37,1.77676402564518e-36,"OK",1025,TRUE
"RPS9","2","RPS9","negbinomial.size",7.42054949885582e-300,1.2101632979713e-298,"OK",15850,TRUE
"AL158071.4","2","AL158071.4","negbinomial.size",2.16140035249806e-99,1.28793334191436e-98,"OK",1616,TRUE
"LAG3","2","LAG3","negbinomial.size",7.51142709298116e-194,7.79535184912733e-193,"OK",2733,TRUE
"OTULIN","1","OTULIN","negbinomial.size",1.20373609870543e-154,1.04020063669007e-153,"OK",8177,TRUE
"IRF1","1","IRF1","negbinomial.size",2.32608536445084e-162,2.10219964812244e-161,"OK",15644,TRUE
"POLR2K","1","POLR2K","negbinomial.size",6.67501776706414e-122,4.81000449726316e-121,"OK",7401,TRUE
"CCL18","1","CCL18","negbinomial.size",8.93060208639575e-95,5.05756551576824e-94,"OK",253,TRUE
"SRSF2","1","SRSF2","negbinomial.size",2.65883256958917e-208,2.88350392171945e-207,"OK",13580,TRUE
"PDE4B","2","PDE4B","negbinomial.size",1.9872743977974e-89,1.07491226155176e-88,"OK",3908,TRUE
"EOMES","2","EOMES","negbinomial.size",2.20641557619465e-63,8.91194671278621e-63,"OK",3126,TRUE
"SLC2A3","1","SLC2A3","negbinomial.size",5.25849640969796e-105,3.36450699487755e-104,"OK",8471,TRUE
"RPL23A","2","RPL23A","negbinomial.size",0,0,"OK",16191,TRUE
"CSF2","1","CSF2","negbinomial.size",5.53241237886395e-102,3.40903478686247e-101,"OK",983,TRUE
"MAP1LC3B","1","MAP1LC3B","negbinomial.size",1.29010788616795e-172,1.24921607370459e-171,"OK",12722,TRUE
"AC243829.1","2","AC243829.1","negbinomial.size",8.86901610572187e-61,3.45987336930049e-60,"OK",2128,TRUE
"HMOX1","1","HMOX1","negbinomial.size",1.16349382335204e-151,9.9355043419314e-151,"OK",859,TRUE
"KRT86","1","KRT86","negbinomial.size",3.01783910190013e-109,1.99563811342115e-108,"OK",2035,TRUE
"RPS15","2","RPS15","negbinomial.size",5.46228158540262e-286,8.52351709261746e-285,"OK",16269,TRUE
"CHD1","1","CHD1","negbinomial.size",1.38267546589346e-137,1.07107967340104e-136,"OK",8218,TRUE
"CCL5","2","CCL5","negbinomial.size",0,0,"OK",15337,TRUE
"NFKBID","1","NFKBID","negbinomial.size",1.19940487590378e-143,9.7071237904302e-143,"OK",4571,TRUE
"CRYBG1","2","CRYBG1","negbinomial.size",1.48961774980027e-29,3.32405442316541e-29,"OK",4188,TRUE
"CD300A","1","CD300A","negbinomial.size",9.33655738542223e-119,6.63966982589535e-118,"OK",4537,TRUE
"GNA15","1","GNA15","negbinomial.size",2.76675858236582e-65,1.14743773712265e-64,"OK",501,TRUE
"TMIGD2","1","TMIGD2","negbinomial.size",0,0,"OK",3853,TRUE
"RPL12","2","RPL12","negbinomial.size",2.25480632801105e-310,3.82083978551248e-309,"OK",16262,TRUE
"TRAF3IP3","2","TRAF3IP3","negbinomial.size",3.38782218356982e-65,1.40232563285552e-64,"OK",5779,TRUE
"RPL37A","2","RPL37A","negbinomial.size",2.89843755067299e-274,4.27667418191138e-273,"OK",16082,TRUE
"RPL10A","2","RPL10A","negbinomial.size",2.27385309387306e-283,3.47323053564131e-282,"OK",15986,TRUE
"LDHA","1","LDHA","negbinomial.size",2.25843229900494e-262,3.10034155477324e-261,"OK",13061,TRUE
"SAT1","1","SAT1","negbinomial.size",1.18242935538005e-72,5.29894477648623e-72,"OK",13735,TRUE
"CD44","1","CD44","negbinomial.size",5.40321146050732e-19,8.95991258244677e-19,"OK",8132,TRUE
"BATF","2","BATF","negbinomial.size",2.60431856601294e-189,2.68988903318194e-188,"OK",3608,TRUE
"EIF5A","1","EIF5A","negbinomial.size",1.10534730167579e-107,7.24319727291475e-107,"OK",9308,TRUE
"KLRC4","2","KLRC4","negbinomial.size",7.14409450915967e-152,6.12471975903847e-151,"OK",1971,TRUE
"PHF20","1","PHF20","negbinomial.size",2.77913334680053e-169,2.63228830969884e-168,"OK",9176,TRUE
"TRIM22","1","TRIM22","negbinomial.size",1.33220674449037e-165,1.24015297373374e-164,"OK",5182,TRUE
"SNX9","1","SNX9","negbinomial.size",2.22059010393191e-60,8.52470785031561e-60,"OK",763,TRUE
"KIR2DL3","1","KIR2DL3","negbinomial.size",5.25427778762685e-142,4.22093648939357e-141,"OK",1687,TRUE
"TNFRSF1B","1","TNFRSF1B","negbinomial.size",4.10493755322402e-175,4.02878260314158e-174,"OK",8516,TRUE
"H3F3A","1","H3F3A","negbinomial.size",4.40653559623436e-189,4.52975152048925e-188,"OK",15650,TRUE
"RPL8","2","RPL8","negbinomial.size",4.42406161860793e-300,7.26953761421257e-299,"OK",16208,TRUE
"IL2RG","1","IL2RG","negbinomial.size",3.44919759385406e-144,2.8125223988983e-143,"OK",11131,TRUE
"RPS5","2","RPS5","negbinomial.size",4.73924661566112e-275,7.04070267764998e-274,"OK",15965,TRUE
"CD69","1","CD69","negbinomial.size",2.96501283083155e-157,2.60368940488811e-156,"OK",15016,TRUE
"PGK1","1","PGK1","negbinomial.size",2.17199409717696e-79,1.05157482070912e-78,"OK",9946,TRUE
"PSME2","1","PSME2","negbinomial.size",1.4221502443114e-169,1.35291398241729e-168,"OK",9668,TRUE
"CEBPD","1","CEBPD","negbinomial.size",0,0,"OK",6932,TRUE
"RPL28","2","RPL28","negbinomial.size",0,0,"OK",16287,TRUE
"H1FX","1","H1FX","negbinomial.size",5.28236298544659e-161,4.75412668690193e-160,"OK",9267,TRUE
"ODC1","1","ODC1","negbinomial.size",8.48702463045581e-54,2.98836954926277e-53,"OK",5692,TRUE
"GK5","1","GK5","negbinomial.size",5.50555171515702e-107,3.58604854960227e-106,"OK",3781,TRUE
"EIF1","1","EIF1","negbinomial.size",6.02395383383286e-116,4.18780636717419e-115,"OK",16284,TRUE
"EZR","1","EZR","negbinomial.size",2.36911712609035e-21,4.19136626956767e-21,"OK",9846,TRUE
"IFI44","1","IFI44","negbinomial.size",1.80359262657455e-139,1.40719151332381e-138,"OK",1535,TRUE
"RPS6","2","RPS6","negbinomial.size",3.3493387814045e-295,5.38127097545656e-294,"OK",16199,TRUE
"VSIR","1","VSIR","negbinomial.size",1.1282830589813e-100,6.87428639025406e-100,"OK",4692,TRUE
